Order,Region,Year_type,Month,Month_fac,meanCPUE,geometry
Calanoida,Far West,2021,3,Mar,32908.25052388357,"c(560486.06702909, 560493.240512684, 560519.802932893, 562322.014329875, 562383.520614829, 562623.957121378, 564595.231627866, 574875.748413025, 579335.373684471, 581023.727989379, 4230875.58968351, 4226273.96565613, 4229639.69910893, 4222280.89922631, 4232283.69302132, 4210814.13504367, 4217080.02980547, 4210587.82136412, 4213690.43764667, 4211789.52600238)"
Calanoida,Far West,2021,4,Apr,12148.940147395055,"c(560493.240512684, 562322.014329875, 562623.957121378, 564595.231627866, 574875.748413025, 579335.373684471, 581023.727989379, 4226273.96565613, 4222280.89922631, 4210814.13504367, 4217080.02980547, 4210587.82136412, 4213690.43764667, 4211789.52600238)"
Calanoida,Far West,2021,5,May,20546.35090600115,"c(560486.06702909, 560493.240512684, 560519.802932893, 562322.014329875, 562383.520614829, 562623.957121378, 564595.231627866, 574875.748413025, 579335.373684471, 581023.727989379, 4230875.58968351, 4226273.96565613, 4229639.69910893, 4222280.89922631, 4232283.69302132, 4210814.13504367, 4217080.02980547, 4210587.82136412, 4213690.43764667, 4211789.52600238)"
Calanoida,Far West,2021,6,Jun,47958.04338981698,"c(560486.06702909, 560493.240512684, 560519.802932893, 562322.014329875, 562383.520614829, 562623.957121378, 562926.435100255, 564050.147594897, 564595.231627866, 574545.931219682, 574875.748413025, 579140.902973847, 579335.373684471, 580427.656901258, 581023.727989379, 4230875.58968351, 4226273.96565613, 4229639.69910893, 4222280.89922631, 4232283.69302132, 4210814.13504367, 4211417.87481889, 4217596.13988227, 4217080.02980547, 4210378.40611143, 4210587.82136412, 4213390.04543792, 4213690.43764667, 
4211904.58016914, 4211789.52600238)"
Calanoida,Far West,2021,12,Dec,6780.51,"c(573879.161872668, 577507.93578854, 579456.13733386, 581571.910108838, 581735.404645107, 4209869.6709821, 4211113.97001856, 4213991.22571807, 4216634.30928239, 4213011.72539147)"
Calanoida,North,2021,3,Mar,75335.97330165864,"c(606794.492511994, 611198.516387825, 613220.180357754, 613271.840226934, 615175.384337085, 616126.159644941, 617169.884340352, 617933.355864592, 618208.670333636, 618611.582110904, 4235660.70169426, 4235156.21454309, 4217432.38809565, 4219328.68567889, 4233103.08817055, 4232971.27129105, 4226345.98792687, 4235106.1444268, 4243684.03196717, 4238091.6515911)"
Calanoida,North,2021,4,Apr,99219.81918824234,"c(606794.492511994, 611198.516387825, 613220.180357754, 613271.840226934, 615175.384337085, 616126.159644941, 617169.884340352, 617933.355864592, 618208.670333636, 618611.582110904, 4235660.70169426, 4235156.21454309, 4217432.38809565, 4219328.68567889, 4233103.08817055, 4232971.27129105, 4226345.98792687, 4235106.1444268, 4243684.03196717, 4238091.6515911)"
Calanoida,North,2021,5,May,115838.6110941174,"c(606794.492511994, 611198.516387825, 613220.180357754, 613271.840226934, 615175.384337085, 616126.159644941, 617169.884340352, 617933.355864592, 618208.670333636, 618611.582110904, 619164.036316794, 4235660.70169426, 4235156.21454309, 4217432.38809565, 4219328.68567889, 4233103.08817055, 4232971.27129105, 4226345.98792687, 4235106.1444268, 4243684.03196717, 4238091.6515911, 4227934.60528126)"
Calanoida,North,2021,6,Jun,301930.2145652847,"c(606794.492511994, 610579.053705906, 611198.516387825, 613220.180357754, 613271.840226934, 613437.781171316, 614741.393289797, 615136.214560924, 615175.384337085, 616092.901266596, 616126.159644941, 616585.114345224, 617169.884340352, 617312.295093955, 617933.355864592, 618208.670333636, 618222.261359551, 618611.582110904, 619164.036316794, 620878.471533373, 623351.376138104, 623484.758678558, 4235660.70169426, 4216558.1801075, 4235156.21454309, 4217432.38809565, 4219328.68567889, 4219061.30994194, 
4234924.64431914, 4233025.95100633, 4233103.08817055, 4232848.70954114, 4232971.27129105, 4225886.96755465, 4226345.98792687, 4229644.33286332, 4235106.1444268, 4243684.03196717, 4243770.80274362, 4238091.6515911, 4227934.60528126, 4251617.2865226, 4266425.99232107, 4259343.1937688)"
Calanoida,North,2021,12,Dec,17631.41,"c(610490.997398422, 610669.538617929, 613263.309173824, 613779.556148341, 614741.65735606, 615136.214560924, 615345.198852705, 616092.901266596, 616468.868531201, 618222.261359551, 620878.471533373, 623351.376138104, 623484.758678558, 4216583.6202058, 4215966.77228402, 4219248.65948802, 4220028.52514462, 4234924.53707603, 4233025.95100633, 4223061.34937309, 4232848.70954114, 4226172.75115436, 4243770.80274362, 4251617.2865226, 4266425.99232107, 4259343.1937688)"
