date2,month_num,atemp,plot_year
1980-10-01,10,71,2021
1980-10-02,10,73.0325,2021
1980-10-03,10,72.35,2021
1980-10-04,10,71.2625,2021
1980-10-05,10,69.005,2021
1980-10-06,10,65.84,2021
1980-10-07,10,61.415,2021
1980-10-08,10,57.9875,2021
1980-10-09,10,63.7625,2021
1980-10-10,10,64.865,2021
1980-10-11,10,59.6225,2021
1980-10-12,10,58.865,2021
1980-10-13,10,60.0275,2021
1980-10-14,10,64.025,2021
1980-10-15,10,60.2525,2021
1980-10-16,10,61.055,2021
1980-10-17,10,56.045,2021
1980-10-18,10,51.275,2021
1980-10-19,10,51.2,2021
1980-10-20,10,53.165,2021
1980-10-21,10,60.125,2021
1980-10-22,10,60.0725,2021
1980-10-23,10,54.2525,2021
1980-10-24,10,56.015,2021
1980-10-25,10,56.795,2021
1980-10-26,10,54.2,2021
1980-10-27,10,59.105,2021
1980-10-28,10,64.7675,2021
1980-10-29,10,61.0025,2021
1980-10-30,10,61.46,2021
1980-10-31,10,57.8825,2021
1980-11-01,11,57.6125,2021
1980-11-02,11,60.6875,2021
1980-11-03,11,57.71,2021
1980-11-04,11,60.83,2021
1980-11-05,11,52.088,2021
1980-11-06,11,52.2875,2021
1980-11-07,11,47.2928,2021
1980-11-08,11,46.715,2021
1980-11-09,11,52.5725,2021
1980-11-10,11,55.85,2021
1980-11-11,11,60.5375,2021
1980-11-12,11,54.9725,2021
1980-11-13,11,61.9475,2021
1980-11-14,11,54.9275,2021
1980-11-15,11,52.175,2021
1980-11-16,11,58.9325,2021
1980-11-17,11,56.75,2021
1980-11-18,11,49.34,2021
1980-11-19,11,52.4825,2021
1980-11-20,11,59.66,2021
1980-11-21,11,57.95,2021
1980-11-22,11,48.8375,2021
1980-11-23,11,51.71,2021
1980-11-24,11,56.3,2021
1980-11-25,11,47.9975,2021
1980-11-26,11,52.2125,2021
1980-11-27,11,53.375,2021
1980-11-28,11,54.6125,2021
1980-11-29,11,53.6525,2021
1980-11-30,11,60.0096,2021
1980-12-01,12,62.1275,2021
1980-12-02,12,52.8275,2021
1980-12-03,12,49.3175,2021
1980-12-04,12,49.2425,2021
1980-12-05,12,50.6225,2021
1980-12-06,12,46.4525,2021
1980-12-07,12,53.3375,2021
1980-12-08,12,50.135,2021
1980-12-09,12,49.1075,2021
1980-12-10,12,42.86,2021
1980-12-11,12,40.505,2021
1980-12-12,12,45.8525,2021
1980-12-13,12,46.805,2021
1980-12-14,12,41.6429,2021
1980-12-15,12,42.4025,2021
1980-12-16,12,51.2109,2021
1980-12-17,12,43.412,2021
1980-12-18,12,48.9513,2021
1980-12-19,12,48.815,2021
1980-12-20,12,43.79,2021
1980-12-21,12,37.7975,2021
1980-12-22,12,44.2775,2021
1980-12-23,12,46.565,2021
1980-12-24,12,49.0325,2021
1980-12-25,12,45.0725,2021
1980-12-26,12,42.26,2021
1980-12-27,12,43.145,2021
1980-12-28,12,37.9175,2021
1980-12-29,12,38.3675,2021
1980-12-30,12,39.83,2021
1980-12-31,12,40.0775,2021
1980-01-01,1,46.841,2021
1980-01-02,1,47.7745,2021
1980-01-03,1,48.1591,2021
1980-01-04,1,49.1391,2021
1980-01-05,1,46.3182,2021
1980-01-06,1,41.51,2021
1980-01-07,1,44.2175,2021
1980-01-08,1,46.415,2021
1980-01-09,1,48.185,2021
1980-01-10,1,44.93,2021
1980-01-11,1,44.87,2021
1980-01-12,1,47.8475,2021
1980-01-13,1,52.73,2021
1980-01-14,1,55.3053,2021
1980-01-15,1,51.524,2021
1980-01-16,1,60.0425,2021
1980-01-17,1,67.9175,2021
1980-01-18,1,62.96,2021
1980-01-19,1,56.54,2021
1980-01-20,1,49.625,2021
1980-01-21,1,46.1225,2021
1980-01-22,1,47.2175,2021
1980-01-23,1,47.39,2021
1980-01-24,1,39.1025,2021
1980-01-25,1,42.5965,2021
1980-01-26,1,33.8825,2021
1980-01-27,1,42.215,2021
1980-01-28,1,42.59,2021
1980-01-29,1,44.1275,2021
1980-01-30,1,47.42,2021
1980-01-31,1,47.9525,2021
1980-02-01,2,50.3675,2021
1980-02-02,2,49.985,2021
1980-02-03,2,45.17,2021
1980-02-04,2,52.265,2021
1980-02-05,2,56.6825,2021
1980-02-06,2,56.675,2021
1980-02-07,2,51.41,2021
1980-02-08,2,49.6625,2021
1980-02-09,2,51.575,2021
1980-02-10,2,51.53,2021
1980-02-11,2,48.785,2021
1980-02-12,2,50.54,2021
1980-02-13,2,49.9,2021
1980-02-24,2,56.075,2021
1980-02-25,2,56.24,2021
1980-02-26,2,49.955,2021
1980-02-27,2,49.01,2021
1980-02-28,2,56.285,2021
1980-03-01,3,50.2325,2021
1980-03-02,3,53.255,2021
1980-03-03,3,54.187,2021
1980-03-04,3,52.1675,2021
1980-03-05,3,52.73,2021
1980-03-06,3,49.1525,2021
1980-03-07,3,49.9609,2021
1980-03-08,3,47.4275,2021
1980-03-09,3,45.92,2021
1980-03-10,3,41.7725,2021
1980-03-11,3,49.0325,2021
1980-03-12,3,56.87,2021
1980-03-13,3,50.87,2021
1980-03-14,3,45.4765,2021
1980-03-15,3,44.7875,2021
1980-03-16,3,48.635,2021
1980-03-17,3,50.6075,2021
1980-03-18,3,49.1825,2021
1980-03-19,3,52.0504,2021
1980-03-20,3,48.9425,2021
1980-03-21,3,53.5325,2021
1980-03-22,3,55.987,2021
1980-03-23,3,55.46,2021
1980-03-24,3,58.9625,2021
1980-03-25,3,56.495,2021
1980-03-26,3,59.3,2021
1980-03-27,3,62.84,2021
1980-03-28,3,60.6725,2021
1980-03-29,3,60.5627,2021
1980-03-30,3,62.0075,2021
1980-03-31,3,67.0175,2021
1980-04-01,4,61.5425,2021
1980-04-02,4,61.8725,2021
1980-04-03,4,59.255,2021
1980-04-04,4,57.2375,2021
1980-04-05,4,59.9525,2021
1980-04-06,4,61.205,2021
1980-04-07,4,60.125,2021
1980-04-08,4,58.7975,2021
1980-04-09,4,59.7575,2021
1980-04-10,4,61.2275,2021
1980-04-11,4,68.51,2021
1980-04-12,4,68.8475,2021
1980-04-13,4,64.2125,2021
1980-04-14,4,62.93,2021
1980-04-15,4,59.6975,2021
1980-04-16,4,65.6975,2021
1980-04-17,4,67.2725,2021
1980-04-18,4,68.615,2021
1980-04-19,4,70.985,2021
1980-04-20,4,64.0175,2021
1980-04-21,4,70.2875,2021
1980-04-22,4,64.76,2021
1980-04-23,4,64.22,2021
1980-04-24,4,60.1175,2021
1980-04-25,4,51.545,2021
1980-04-26,4,51.29,2021
1980-04-27,4,62.585,2021
1980-04-28,4,67.745,2021
1980-04-29,4,70.235,2021
1980-04-30,4,72.4325,2021
1980-05-01,5,70.55,2021
1980-05-02,5,70.535,2021
1980-05-03,5,73.3325,2021
1980-05-04,5,75.8,2021
1980-05-05,5,77,2021
1980-05-06,5,71.7575,2021
1980-05-07,5,69.815,2021
1980-05-08,5,70.9475,2021
1980-05-09,5,73.7225,2021
1980-05-10,5,75.3425,2021
1980-05-11,5,78.1025,2021
1980-05-12,5,76.97,2021
1980-05-13,5,77.315,2021
1980-05-14,5,75.5075,2021
1980-05-15,5,70.415,2021
1980-05-16,5,72.395,2021
1980-05-17,5,71.9825,2021
1980-05-18,5,73.0318,2021
1980-05-19,5,65.075,2021
1980-05-20,5,60.0878,2021
1980-05-21,5,62.8175,2021
1980-05-22,5,66.7791,2021
1980-05-23,5,68.9825,2021
1980-05-24,5,71.375,2021
1980-05-25,5,71.8175,2021
1980-05-26,5,75.8,2021
1980-05-27,5,73.6625,2021
1980-05-28,5,79.5936,2021
1980-05-29,5,87.5686,2021
1980-05-30,5,86.405,2021
1980-05-31,5,92.705,2021
1980-06-01,6,89,2021
1980-06-02,6,86.705,2021
1980-06-03,6,87.335,2021
1980-06-04,6,87.1775,2021
1980-06-05,6,84.5,2021
1980-06-06,6,80,2021
1980-06-07,6,72.5375,2021
1980-06-08,6,64.91,2021
1980-06-09,6,64.025,2021
1980-06-10,6,65.285,2021
1980-06-11,6,69.4625,2021
1980-06-12,6,76.0775,2021
1980-06-13,6,80.375,2021
1980-06-14,6,77.285,2021
1980-06-15,6,74.84,2021
1980-06-16,6,85.6625,2021
1980-06-17,6,92.315,2021
1980-06-18,6,92.84,2021
1980-06-19,6,92.9075,2021
1980-06-20,6,88.9025,2021
1980-06-21,6,85.3775,2021
1980-06-22,6,82.1525,2021
1980-06-23,6,81.125,2021
1980-06-24,6,82.34,2021
1980-06-25,6,86.2775,2021
1980-06-26,6,93.125,2021
1980-06-27,6,92.435,2021
1980-06-28,6,89.81,2021
1980-06-29,6,90.1025,2021
1980-06-30,6,90.9125,2021
1980-07-01,7,86.1725,2021
1980-07-02,7,87.23,2021
1980-07-03,7,88.55,2021
1980-07-04,7,87.665,2021
1980-07-05,7,87.4475,2021
1980-07-06,7,86.345,2021
1980-07-07,7,87.89,2021
1980-07-08,7,88.6775,2021
1980-07-09,7,93.035,2021
1980-07-10,7,96.6674,2021
1980-07-12,7,92.5829,2021
1980-07-13,7,86.735,2021
1980-07-14,7,83.7875,2021
1980-07-15,7,81.92,2021
1980-07-16,7,82.5725,2021
1980-07-17,7,84.17,2021
1980-07-18,7,88.295,2021
1980-07-19,7,87.995,2021
1980-07-20,7,86.465,2021
1980-07-21,7,85.175,2021
1980-07-22,7,85.7,2021
1980-07-23,7,85.475,2021
1980-07-24,7,81.965,2021
1980-07-25,7,85.7225,2021
1980-07-26,7,84.5075,2021
1980-07-27,7,74.2625,2021
1980-07-28,7,86.465,2021
1980-07-29,7,90.725,2021
1980-07-30,7,93.125,2021
1980-07-31,7,90.29,2021
1980-08-01,8,89.0975,2021
1980-08-02,8,83.375,2021
1980-08-03,8,83.3675,2021
1980-08-04,8,84.635,2021
1980-08-05,8,76.9242,2021
1980-08-06,8,84.035,2021
1980-08-07,8,81.2075,2021
1980-08-08,8,81.725,2021
1980-08-09,8,84.5,2021
1980-08-10,8,85.97,2021
1980-08-11,8,88.115,2021
1980-08-12,8,87.845,2021
1980-08-13,8,83.4425,2021
1980-08-14,8,89.2625,2021
1980-08-15,8,92.4275,2021
1980-08-16,8,87.9875,2021
1980-08-17,8,82.5275,2021
1980-08-18,8,80.6225,2021
1980-08-19,8,84.41,2021
1980-08-20,8,78.71,2021
1980-08-21,8,73.445,2021
1980-08-22,8,74.2775,2021
1980-08-23,8,75.218,2021
1980-08-24,8,74.885,2021
1980-08-25,8,75.6725,2021
1980-08-26,8,79.955,2021
1980-08-27,8,88.355,2021
1980-08-28,8,89.075,2021
