brood_year,first_passage_date,x5_percent_passage_date,x10_percent_passage_date,x25_percent_passage_date,x50_percent_passage_date,x75_percent_passage_date,x90_percent_passage_date,x95_percent_passage_date,last_passage_date,duration_middle80_percent_days,duration_middle50_percent_days,duration_middle90_percent_days,run_size,today_7_1_percent,sacramento_valley_reconstructed_water_year_hci_value,sacramento_valley_reconstructed_water_year_hci_classification,Survey
Average (2013 - 2021),09/28,10/20,11/16,12/07,12/19,12/29,01/18,02/03,03/24,65,23,108.2,160.7,22.2%,NA,NA,Tisdale Weir
Median (2013 - 2021),09/29,10/23,11/20,12/03,12/10,12/21,01/18,02/15,03/22,77,17,116,83,100.0%,NA,NA,Tisdale Weir
2021,09/12/2021,09/29/2021,10/13/2021,10/28/2021,11/08/2021,11/13/2021,11/27/2021,12/29/2021,04/03/2022,46,17,92,210,0.0%,3.8,Critical,Tisdale Weir
2020,09/30/2020,10/24/2020,12/31/2020,01/30/2021,02/03/2021,02/06/2021,02/15/2021,02/16/2021,03/20/2021,47,8,116,61,0.0%,6.12,Dry,Tisdale Weir
2019,09/16/2019,10/25/2019,12/10/2019,12/10/2019,12/10/2019,12/11/2019,12/12/2019,12/16/2019,03/02/2020,3,2,53,508,100.0%,10.34,Wet,Tisdale Weir
2018,10/12/2018,12/03/2018,12/03/2018,12/03/2018,12/03/2018,12/03/2018,12/27/2018,02/05/2019,03/25/2019,25,1,66,217,0.0%,7.14,Below Normal,Tisdale Weir
2017,09/29/2017,10/10/2017,11/20/2017,11/24/2017,01/12/2018,01/29/2018,02/08/2018,02/19/2018,03/06/2018,82,68,134,50,0.0%,14.14,Wet,Tisdale Weir
2016,09/10/2016,10/05/2016,10/08/2016,11/04/2016,11/23/2016,12/02/2016,02/07/2017,02/20/2017,03/22/2017,123,29,139,83,0.0%,6.71,Below Normal,Tisdale Weir
2015,09/21/2015,09/29/2015,10/09/2015,12/15/2015,12/18/2015,12/26/2015,01/18/2016,01/27/2016,03/31/2016,103,12,122,53,100.0%,4,Critical,Tisdale Weir
2014,10/31/2014,10/31/2014,10/31/2014,10/31/2014,10/31/2014,12/21/2014,01/14/2015,02/15/2015,03/17/2015,77,52,109,199,0.0%,4.07,Critical,Tisdale Weir
2013,10/01/2013,10/23/2013,12/21/2013,02/12/2014,03/01/2014,03/01/2014,03/08/2014,03/13/2014,04/30/2014,79,18,143,65,0.0%,5.83,Dry,Tisdale Weir
Average (2012 - 2021),09/24,11/06,11/12,12/05,12/16,01/01,01/20,02/02,03/14,71,27.7,89.2,261.3,20.0%,NA,NA,Knights Landing
Median (2012 - 2021),09/24,10/29,10/29,11/30,12/05,12/20,01/19,02/04,03/27,61,22,96,188.5,100.0%,NA,NA,Knights Landing
2021,09/29/2021,10/28/2021,10/28/2021,10/29/2021,11/06/2021,11/16/2021,12/29/2021,12/30/2021,03/19/2022,63,19,64,204,0.0%,3.8,Critical,Knights Landing
