rkm_start,receiver,cumulative_survival_est,SE_cum,LCL_cum,UCL_cum,count,rel_date,rkm_end,reach_start,reach_end,reach_survival_est,SE_reach,LCL_reach,UCL_reach
71.486,Chipps,0.08,0.023,0.04,0.14,11,2022-02-10,52.144,Chipps,Benicia,0.989,0.007,0.959,0.997
52.144,Benicia,0.065,0.021,0.03,0.12,9,2022-02-10,1.71,Benicia,GoldenGateE,1,0,1,1
1.71,GoldenGateE,0.065,0.021,0.03,0.12,2,2022-02-10,NA,NA,NA,NA,NA,NA,NA
551.288,Caldwell_Park_Rel,1,0,0,0,430,2022-03-02,543.908,Caldwell_Park_Rel,Blw_Cypress,0.996,0.001,0.993,0.998
543.908,Blw_Cypress,0.972,0.008,0.95,0.98,418,2022-03-02,535.628,Blw_Cypress,Blw_ClearCr,0.999,0.001,0.997,1
535.628,Blw_ClearCr,0.963,0.009,0.94,0.98,414,2022-03-02,520.698,Blw_ClearCr,BlwCowCr,1,0,0.999,1
520.698,BlwCowCr,0.958,0.01,0.94,0.97,412,2022-03-02,507.488,BlwCowCr,Battle_Conf,0.998,0.001,0.997,0.999
507.488,Battle_Conf,0.935,0.012,0.91,0.96,402,2022-03-02,476.278,Battle_Conf,Blw_Paynes_Ck,0.997,0,0.996,0.998
476.278,Blw_Paynes_Ck,0.856,0.017,0.82,0.89,368,2022-03-02,456.888,Blw_Paynes_Ck,Blw_Salt,0.997,0.001,0.995,0.998
456.888,Blw_Salt,0.8,0.019,0.76,0.84,344,2022-03-02,441.318,Blw_Salt,Mill_Ck_Conf,0.993,0.001,0.99,0.996
441.318,Mill_Ck_Conf,0.722,0.024,0.67,0.77,291,2022-03-02,371.658,Mill_Ck_Conf,Ord,0.988,0.001,0.986,0.99
371.658,Ord,0.315,0.024,0.27,0.36,116,2022-03-02,318.618,Ord,Colusa AC2,0.991,0.001,0.988,0.994
318.618,Colusa AC2,0.198,0.019,0.16,0.24,85,2022-03-02,307.738,Colusa AC2,AbvColusaBr,0.99,0.003,0.981,0.995
307.738,AbvColusaBr,0.178,0.018,0.14,0.22,68,2022-03-02,296.278,AbvColusaBr,Colusa BC2,0.997,0.002,0.987,0.999
296.278,Colusa BC2,0.171,0.018,0.14,0.21,61,2022-03-02,269.238,Colusa BC2,AbvTisdale,0.999,0.001,0.995,1
269.238,AbvTisdale,0.166,0.018,0.13,0.2,69,2022-03-02,222.05,AbvTisdale,Knights_RST,0.998,0.001,0.996,0.999
