date,year,month_num,day,var,atemp,date2,allyears,extreme
2003-10-01,2003,10,1,mean,71.1714,1980-10-01,69.84824,69.84824
2004-10-01,2004,10,1,mean,66.8,1980-10-01,69.84824,69.84824
2005-10-01,2005,10,1,mean,66.7475,1980-10-01,69.84824,69.84824
2006-10-01,2006,10,1,mean,68.225,1980-10-01,69.84824,69.84824
2007-10-01,2007,10,1,mean,62.9525,1980-10-01,69.84824,69.84824
2008-10-01,2008,10,1,mean,74.5025,1980-10-01,69.84824,69.84824
2009-10-01,2009,10,1,mean,69.59,1980-10-01,69.84824,69.84824
2010-10-01,2010,10,1,mean,76.43,1980-10-01,69.84824,69.84824
2011-10-01,2011,10,1,mean,63.4475,1980-10-01,69.84824,69.84824
2012-10-01,2012,10,1,mean,78.5375,1980-10-01,69.84824,69.84824
2013-10-01,2013,10,1,mean,67.0775,1980-10-01,69.84824,69.84824
2014-10-01,2014,10,1,mean,72.275,1980-10-01,69.84824,69.84824
2015-10-01,2015,10,1,mean,66.2,1980-10-01,69.84824,69.84824
2016-10-01,2016,10,1,mean,62.1725,1980-10-01,69.84824,69.84824
2017-10-01,2017,10,1,mean,69.2209,1980-10-01,69.84824,69.84824
2018-10-01,2018,10,1,mean,65.8775,1980-10-01,69.84824,69.84824
2019-10-01,2019,10,1,mean,58.565,1980-10-01,69.84824,69.84824
2020-10-01,2020,10,1,mean,86.1875,1980-10-01,69.84824,69.84824
2021-10-01,2021,10,1,mean,71,1980-10-01,69.84824,69.84824
2022-10-01,2022,10,1,mean,79.985,1980-10-01,69.84824,69.84824
2003-10-02,2003,10,2,mean,72.9714,1980-10-02,68.488865,68.488865
2004-10-02,2004,10,2,mean,70.775,1980-10-02,68.488865,68.488865
2005-10-02,2005,10,2,mean,58.604,1980-10-02,68.488865,68.488865
2006-10-02,2006,10,2,mean,61.19,1980-10-02,68.488865,68.488865
2007-10-02,2007,10,2,mean,66.9575,1980-10-02,68.488865,68.488865
2008-10-02,2008,10,2,mean,73.6175,1980-10-02,68.488865,68.488865
2009-10-02,2009,10,2,mean,67.22,1980-10-02,68.488865,68.488865
2010-10-02,2010,10,2,mean,74.33,1980-10-02,68.488865,68.488865
2011-10-02,2011,10,2,mean,63.425,1980-10-02,68.488865,68.488865
2012-10-02,2012,10,2,mean,77.465,1980-10-02,68.488865,68.488865
2013-10-02,2013,10,2,mean,65.42,1980-10-02,68.488865,68.488865
2014-10-02,2014,10,2,mean,74.9975,1980-10-02,68.488865,68.488865
2015-10-02,2015,10,2,mean,73.6842,1980-10-02,68.488865,68.488865
2016-10-02,2016,10,2,mean,53.015,1980-10-02,68.488865,68.488865
2017-10-02,2017,10,2,mean,65.0652,1980-10-02,68.488865,68.488865
2018-10-02,2018,10,2,mean,68.0825,1980-10-02,68.488865,68.488865
2019-10-02,2019,10,2,mean,60.1175,1980-10-02,68.488865,68.488865
2020-10-02,2020,10,2,mean,78.095,1980-10-02,68.488865,68.488865
2021-10-02,2021,10,2,mean,73.0325,1980-10-02,68.488865,68.488865
2022-10-02,2022,10,2,mean,71.7125,1980-10-02,68.488865,68.488865
2003-10-03,2003,10,3,mean,71.2571,1980-10-03,67.37075,67.37075
2004-10-03,2004,10,3,mean,73.475,1980-10-03,67.37075,67.37075
2005-10-03,2005,10,3,mean,60,1980-10-03,67.37075,67.37075
2006-10-03,2006,10,3,mean,69.62,1980-10-03,67.37075,67.37075
