Date,Facility,nfish,Expanded.Salvage,Loss,cumLoss
2021-12-23,CVP,0,0,0,2.6
2021-12-23,SWP,0,0,0,0
2021-12-24,CVP,0,0,0,2.6
2021-12-24,SWP,0,0,0,0
2021-12-25,CVP,1,4,3.52,6.12
2021-12-25,SWP,0,0,0,0
2021-12-26,CVP,0,0,0,6.12
2021-12-26,SWP,0,0,0,0
2021-12-27,CVP,0,0,0,6.12
2021-12-27,SWP,0,0,0,0
2021-12-28,CVP,0,0,0,6.12
2021-12-28,SWP,0,0,0,0
2021-12-29,CVP,0,0,0,6.12
2021-12-29,SWP,0,0,0,0
2021-12-30,CVP,0,0,0,6.12
2021-12-30,SWP,0,0,0,0
2021-12-31,CVP,1,4,3.19,9.31
2021-12-31,SWP,0,0,0,0
2022-01-01,CVP,0,0,0,9.31
2022-01-01,SWP,0,0,0,0
2022-01-02,CVP,0,0,0,9.31
2022-01-02,SWP,0,0,0,0
2022-01-03,CVP,0,0,0,9.31
2022-01-03,SWP,0,0,0,0
2022-01-04,CVP,0,0,0,9.31
2022-01-04,SWP,0,0,0,0
2022-01-05,CVP,0,0,0,9.31
2022-01-05,SWP,0,0,0,0
2022-01-06,CVP,0,0,0,9.31
2022-01-06,SWP,0,0,0,0
2022-01-07,CVP,1,4,2.6,11.91
2022-01-07,CVP,1,4,2.6,14.51
2022-01-07,SWP,0,0,0,0
2022-01-08,CVP,0,0,0,14.51
2022-01-08,SWP,0,0,0,0
2022-01-09,CVP,1,4,2.6,17.11
2022-01-09,SWP,0,0,0,0
2022-01-10,CVP,0,0,0,17.11
2022-01-10,SWP,0,0,0,0
2022-01-11,CVP,0,0,0,17.11
2022-01-11,SWP,0,0,0,0
2022-01-12,CVP,0,0,0,17.11
2022-01-12,SWP,0,0,0,0
2022-01-13,CVP,0,0,0,17.11
2022-01-13,SWP,0,0,0,0
2022-01-14,CVP,0,0,0,17.11
2022-01-14,SWP,0,0,0,0
2022-01-15,CVP,0,0,0,17.11
2022-01-15,SWP,0,0,0,0
2022-01-16,CVP,0,0,0,17.11
2022-01-16,SWP,0,0,0,0
2022-01-17,CVP,0,0,0,17.11
2022-01-17,SWP,0,0,0,0
2022-01-18,CVP,0,0,0,17.11
2022-01-18,SWP,0,0,0,0
2022-01-19,CVP,0,0,0,17.11
2022-01-19,SWP,0,0,0,0
2022-01-20,CVP,0,0,0,17.11
2022-01-20,SWP,0,0,0,0
2022-01-21,CVP,0,0,0,17.11
2022-01-21,SWP,0,0,0,0
2022-01-22,CVP,0,0,0,17.11
2022-01-22,SWP,0,0,0,0
2022-01-23,CVP,0,0,0,17.11
2022-01-23,SWP,0,0,0,0
2022-01-24,CVP,0,0,0,17.11
2022-01-24,SWP,0,0,0,0
2022-01-25,CVP,0,0,0,17.11
2022-01-25,SWP,0,0,0,0
2022-01-26,CVP,0,0,0,17.11
2022-01-26,SWP,0,0,0,0
2022-01-27,CVP,0,0,0,17.11
2022-01-27,SWP,0,0,0,0
2022-01-28,CVP,1,4,2.88,19.990000000000002
2022-01-28,SWP,0,0,0,0
2022-01-29,CVP,0,0,0,19.990000000000002
2022-01-29,SWP,0,0,0,0
2022-01-30,CVP,0,0,0,19.990000000000002
2022-01-30,SWP,0,0,0,0
2022-01-31,CVP,0,0,0,19.990000000000002
2022-01-31,SWP,0,0,0,0
2022-02-01,CVP,0,0,0,19.990000000000002
2022-02-01,SWP,0,0,0,0
2022-02-02,CVP,0,0,0,19.990000000000002
2022-02-02,SWP,0,0,0,0
2022-02-03,CVP,0,0,0,19.990000000000002
2022-02-03,SWP,0,0,0,0
2022-02-04,CVP,0,0,0,19.990000000000002
2022-02-04,SWP,0,0,0,0
2022-02-05,CVP,0,0,0,19.990000000000002
2022-02-05,SWP,0,0,0,0
2022-02-06,CVP,0,0,0,19.990000000000002
2022-02-06,SWP,0,0,0,0
2022-02-07,CVP,0,0,0,19.990000000000002
2022-02-07,SWP,0,0,0,0
2022-02-08,CVP,0,0,0,19.990000000000002
2022-02-08,SWP,0,0,0,0
2022-02-09,CVP,0,0,0,19.990000000000002
2022-02-09,SWP,0,0,0,0
2022-02-10,CVP,0,0,0,19.990000000000002
2022-02-10,SWP,0,0,0,0
2022-02-11,CVP,0,0,0,19.990000000000002
2022-02-11,SWP,0,0,0,0
2022-02-12,CVP,0,0,0,19.990000000000002
2022-02-12,SWP,0,0,0,0
2022-02-13,CVP,0,0,0,19.990000000000002
2022-02-13,SWP,0,0,0,0
2022-02-14,CVP,0,0,0,19.990000000000002
2022-02-14,SWP,0,0,0,0
2022-02-15,CVP,1,1,0.57,20.56
2022-02-15,SWP,0,0,0,0
2022-02-16,CVP,0,0,0,20.56
2022-02-16,SWP,0,0,0,0
2022-02-17,CVP,0,0,0,20.56
2022-02-17,SWP,0,0,0,0
2022-02-18,CVP,0,0,0,20.56
2022-02-18,SWP,0,0,0,0
2022-02-19,CVP,0,0,0,20.56
2022-02-19,SWP,0,0,0,0
2022-02-20,CVP,0,0,0,20.56
2022-02-20,SWP,0,0,0,0
2022-02-21,CVP,0,0,0,20.56
2022-02-21,SWP,0,0,0,0
2022-02-22,CVP,0,0,0,20.56
2022-02-22,SWP,0,0,0,0
2022-02-23,CVP,0,0,0,20.56
2022-02-23,SWP,0,0,0,0
2022-02-24,CVP,0,0,0,20.56
2022-02-24,SWP,0,0,0,0
2022-02-25,CVP,0,0,0,20.56
2022-02-25,SWP,0,0,0,0
2022-02-26,CVP,0,0,0,20.56
2022-02-26,SWP,0,0,0,0
2022-02-27,CVP,0,0,0,20.56
2022-02-27,SWP,0,0,0,0
2022-02-28,CVP,0,0,0,20.56
2022-02-28,SWP,0,0,0,0
2022-03-01,CVP,0,0,0,20.56
2022-03-01,SWP,0,0,0,0
2022-03-02,CVP,0,0,0,20.56
2022-03-02,SWP,0,0,0,0
2022-03-03,CVP,0,0,0,20.56
2022-03-03,SWP,0,0,0,0
2022-03-04,CVP,0,0,0,20.56
2022-03-04,SWP,0,0,0,0
2022-03-05,CVP,0,0,0,20.56
2022-03-05,SWP,0,0,0,0
2022-03-06,CVP,0,0,0,20.56
2022-03-06,SWP,0,0,0,0
2022-03-07,CVP,0,0,0,20.56
2022-03-07,SWP,0,0,0,0
2022-03-08,CVP,0,0,0,20.56
2022-03-08,SWP,0,0,0,0
2022-03-09,CVP,0,0,0,20.56
2022-03-09,SWP,0,0,0,0
2022-03-10,CVP,0,0,0,20.56
2022-03-10,SWP,0,0,0,0
2022-03-11,CVP,0,0,0,20.56
2022-03-11,SWP,0,0,0,0
2022-03-12,CVP,0,0,0,20.56
2022-03-12,SWP,0,0,0,0
2022-03-13,CVP,0,0,0,20.56
2022-03-13,SWP,0,0,0,0
2022-03-14,CVP,0,0,0,20.56
2022-03-14,SWP,0,0,0,0
2022-03-15,CVP,0,0,0,20.56
2022-03-15,SWP,0,0,0,0
2022-03-16,CVP,0,0,0,20.56
2022-03-16,SWP,0,0,0,0
2022-03-17,CVP,0,0,0,20.56
2022-03-17,SWP,0,0,0,0
2022-03-18,CVP,0,0,0,20.56
2022-03-18,SWP,0,0,0,0
2022-03-19,CVP,0,0,0,20.56
2022-03-19,SWP,0,0,0,0
2022-03-20,CVP,0,0,0,20.56
2022-03-20,SWP,0,0,0,0
2022-03-21,CVP,0,0,0,20.56
2022-03-21,SWP,0,0,0,0
2022-03-22,CVP,0,0,0,20.56
2022-03-22,SWP,0,0,0,0
2022-03-23,CVP,0,0,0,20.56
2022-03-23,SWP,0,0,0,0
2022-03-24,CVP,0,0,0,20.56
2022-03-24,SWP,0,0,0,0
2022-03-25,CVP,0,0,0,20.56
2022-03-25,SWP,0,0,0,0
2022-03-26,CVP,0,0,0,20.56
2022-03-26,SWP,0,0,0,0
2022-03-27,CVP,0,0,0,20.56
2022-03-27,SWP,0,0,0,0
2022-03-28,CVP,0,0,0,20.56
2022-03-28,SWP,0,0,0,0
2022-03-29,CVP,0,0,0,20.56
2022-03-29,SWP,1,4,17.39,17.39
2022-03-30,CVP,0,0,0,20.56
2022-03-30,SWP,0,0,0,17.39
2022-03-31,CVP,0,0,0,20.56
2022-03-31,SWP,0,0,0,17.39
2022-04-01,CVP,0,0,0,20.56
2022-04-01,SWP,0,0,0,17.39
2022-04-02,CVP,0,0,0,20.56
2022-04-02,SWP,0,0,0,17.39
2022-04-03,CVP,0,0,0,20.56
2022-04-03,SWP,0,0,0,17.39
2022-04-04,CVP,0,0,0,20.56
2022-04-04,SWP,0,0,0,17.39
2022-04-05,CVP,0,0,0,20.56
2022-04-05,SWP,0,0,0,17.39
2022-04-06,CVP,0,0,0,20.56
2022-04-06,SWP,0,0,0,17.39
2022-04-07,CVP,0,0,0,20.56
2022-04-07,SWP,0,0,0,17.39
2022-04-08,CVP,0,0,0,20.56
2022-04-08,SWP,0,0,0,17.39
2022-04-09,CVP,0,0,0,20.56
2022-04-09,SWP,0,0,0,17.39
2022-04-10,CVP,0,0,0,20.56
2022-04-10,SWP,0,0,0,17.39
2022-04-11,CVP,0,0,0,20.56
2022-04-11,SWP,0,0,0,17.39
2022-04-12,CVP,0,0,0,20.56
2022-04-12,SWP,1,4,17.52,34.91
2022-04-13,CVP,0,0,0,20.56
2022-04-13,SWP,0,0,0,34.91
2022-04-14,CVP,0,0,0,20.56
2022-04-14,SWP,0,0,0,34.91
2022-04-15,CVP,0,0,0,20.56
2022-04-15,SWP,0,0,0,34.91
2022-04-16,CVP,0,0,0,20.56
2022-04-16,SWP,0,0,0,34.91
2022-04-17,CVP,0,0,0,20.56
2022-04-17,SWP,0,0,0,34.91
2022-04-18,CVP,0,0,0,20.56
2022-04-18,SWP,0,0,0,34.91
2022-04-19,CVP,0,0,0,20.56
2022-04-19,SWP,0,0,0,34.91
2022-04-20,CVP,0,0,0,20.56
2022-04-20,SWP,0,0,0,34.91
2022-04-21,CVP,0,0,0,20.56
2022-04-21,SWP,0,0,0,34.91
2022-04-22,CVP,0,0,0,20.56
2022-04-22,SWP,0,0,0,34.91
2022-04-23,CVP,0,0,0,20.56
2022-04-23,SWP,0,0,0,34.91
2022-04-24,CVP,0,0,0,20.56
2022-04-24,SWP,0,0,0,34.91
2022-04-25,CVP,0,0,0,20.56
2022-04-25,SWP,0,0,0,34.91
2022-04-26,CVP,0,0,0,20.56
2022-04-26,SWP,0,0,0,34.91
2022-04-27,CVP,0,0,0,20.56
2022-04-27,SWP,1,4,17.57,52.480000000000004
2022-04-28,CVP,0,0,0,20.56
2022-04-28,SWP,0,0,0,52.480000000000004
2022-04-29,CVP,0,0,0,20.56
2022-04-29,SWP,0,0,0,52.480000000000004
2022-04-30,CVP,0,0,0,20.56
2022-04-30,SWP,0,0,0,52.480000000000004
