date,metric,route,median,lowerCI,upperCI,WY,wDay,doy,CY,wDate
2020-10-01,Survival,Overall,0.0012377851524631648,2.399608459773404e-5,0.0028035808157298313,2021,2,275,2020,2021-10-01
2020-10-01,Survival,Sacramento,0.0010759695161053026,1.1191389624617966e-5,0.002251517286117258,2021,2,275,2020,2021-10-01
2020-10-01,Survival,Yolo,0.3647941202058094,0.05922156367074788,0.6814734681705148,2021,2,275,2020,2021-10-01
2020-10-01,Survival,Sutter,0.003030090550413728,4.5391248294108065e-5,0.006486209584968709,2021,2,275,2020,2021-10-01
2020-10-01,Survival,Steamboat,9.489667992774481e-4,8.516828367347008e-6,0.0021254228285870424,2021,2,275,2020,2021-10-01
2020-10-01,Survival,Interior Delta,3.9169441528806516e-4,2.2007160328472524e-6,8.454392832043036e-4,2021,2,275,2020,2021-10-01
2020-10-01,Routing Probability,Sacramento,0.5816295876847234,0.5381109427683876,0.6253342423702243,2021,2,275,2020,2021-10-01
2020-10-01,Routing Probability,Yolo,0,0,0,2021,2,275,2020,2021-10-01
2020-10-01,Routing Probability,Sutter,0.138697458365564,0.11179918386962154,0.16860439363262586,2021,2,275,2020,2021-10-01
2020-10-01,Routing Probability,Steamboat,0.14574481322044883,0.11969539186063514,0.1717760206399361,2021,2,275,2020,2021-10-01
2020-10-01,Routing Probability,Interior Delta,0.1339281407292638,0.10282785081035098,0.1661538705359655,2021,2,275,2020,2021-10-01
2020-10-02,Survival,Overall,0.0013205643542632684,2.8712514349251666e-5,0.003012136183319943,2021,3,276,2020,2021-10-02
2020-10-02,Survival,Sacramento,0.001153144996524482,1.3936834808647054e-5,0.0024411605853013997,2021,3,276,2020,2021-10-02
2020-10-02,Survival,Yolo,0.3681455321125459,0.06055159906552883,0.6799501962908439,2021,3,276,2020,2021-10-02
2020-10-02,Survival,Sutter,0.0031973580220861445,5.4713320066477455e-5,0.00680813000557244,2021,3,276,2020,2021-10-02
2020-10-02,Survival,Steamboat,0.0010318370128946795,1.1111430749794672e-5,0.0023176511777414266,2021,3,276,2020,2021-10-02
