brood_year,first_passage_date,x5_percent_passage_date,x10_percent_passage_date,x25_percent_passage_date,x50_percent_passage_date,x75_percent_passage_date,x90_percent_passage_date,x95_percent_passage_date,last_passage_date,duration_middle80_percent_days,duration_middle50_percent_days,duration_middle90_percent_days,run_size,today_7_1_percent,sacramento_valley_reconstructed_water_year_hci_value,sacramento_valley_reconstructed_water_year_hci_classification,Survey
Average (2012 - 2021),07/08,09/02,09/09,09/23,10/10,11/03,11/22,12/16,04/30,75.3,42.1,105.9,1165040.5,20.0%,NA,NA,RBDD
Median (2012 - 2021),07/06,08/31,09/10,09/23,10/08,11/01,11/21,12/08,05/02,71.5,41,98,838013.5,100.0%,NA,NA,RBDD
2021,07/02/2021,08/27/2021,09/06/2021,09/16/2021,09/29/2021,10/13/2021,11/07/2021,11/12/2021,05/25/2022,63,28,78,557652,0.0%,3.8,Critical,RBDD
2020,07/05/2020,09/06/2020,09/13/2020,09/23/2020,10/09/2020,10/23/2020,11/23/2020,12/28/2020,04/28/2021,72,31,114,2078101,0.0%,6.12,Dry,RBDD
2019,07/06/2019,08/23/2019,08/29/2019,09/11/2019,10/01/2019,10/20/2019,11/03/2019,11/28/2019,03/23/2020,67,40,98,3666516,100.0%,10.34,Wet,RBDD
2018,07/18/2018,09/14/2018,09/22/2018,10/06/2018,10/16/2018,11/05/2018,12/01/2018,12/02/2018,05/15/2019,71,31,80,1084961,0.0%,7.14,Below Normal,RBDD
2017,07/12/2017,08/28/2017,09/09/2017,09/27/2017,10/20/2017,11/16/2017,11/19/2017,01/20/2018,05/01/2018,72,51,147,591066,0.0%,14.14,Wet,RBDD
2016,07/02/2016,08/24/2016,09/01/2016,09/18/2016,10/05/2016,10/28/2016,11/02/2016,11/22/2016,04/03/2017,63,41,91,498386,0.0%,6.71,Below Normal,RBDD
2015,07/06/2015,09/04/2015,09/11/2015,09/22/2015,10/06/2015,11/08/2015,12/11/2015,12/15/2015,04/28/2016,92,48,103,324246,100.0%,4,Critical,RBDD
2014,07/07/2014,08/27/2014,08/30/2014,09/18/2014,09/27/2014,10/28/2014,11/19/2014,12/02/2014,05/21/2015,82,41,98,270279,0.0%,4.07,Critical,RBDD
2013,07/09/2013,09/09/2013,09/16/2013,09/27/2013,10/28/2013,11/27/2013,12/28/2013,02/10/2014,05/08/2014,104,62,156,1392950,0.0%,5.83,Dry,RBDD
2012,07/16/2012,09/11/2012,09/17/2012,10/03/2012,10/20/2012,11/19/2012,11/22/2012,12/13/2012,05/04/2013,67,48,94,1186248,0.0%,6.89,Below Normal,RBDD
