brood_year,first_passage_date,x5_percent_passage_date,x10_percent_passage_date,x25_percent_passage_date,x50_percent_passage_date,x75_percent_passage_date,x90_percent_passage_date,x95_percent_passage_date,last_passage_date,duration_middle80_percent_days,duration_middle50_percent_days,duration_middle90_percent_days,run_size,today_7_1_percent,sacramento_valley_reconstructed_water_year_hci_value,sacramento_valley_reconstructed_water_year_hci_classification,Survey
Average (2007 - 2021),11/12,11/20,12/02,12/13,12/27,01/11,01/27,02/12,02/27,57.3,31.1,86.3,69.9,26.7%,NA,NA,Beach Seines
Median (2007 - 2021),11/01,11/12,11/27,12/09,12/17,01/08,01/22,02/20,03/03,60,26,83,43,100.0%,NA,NA,Beach Seines
2021,10/08/2021,10/18/2021,10/25/2021,10/27/2021,11/01/2021,12/15/2021,12/23/2021,02/28/2022,03/17/2022,60,50,135,23,0.0%,3.8,Critical,Beach Seines
2020,11/09/2020,11/09/2020,11/09/2020,11/09/2020,01/14/2021,03/09/2021,03/18/2021,03/18/2021,03/18/2021,130,121,130,4,0.0%,6.12,Dry,Beach Seines
2019,09/30/2019,10/10/2019,11/27/2019,12/09/2019,12/13/2019,01/08/2020,01/30/2020,02/20/2020,02/26/2020,66,32,135,90,100.0%,10.34,Wet,Beach Seines
2018,12/03/2018,12/04/2018,12/04/2018,12/10/2018,12/12/2018,12/12/2018,12/17/2018,01/09/2019,02/11/2019,14,3,38,207,0.0%,7.14,Below Normal,Beach Seines
2017,11/21/2017,11/21/2017,11/21/2017,11/24/2017,12/20/2017,01/17/2018,01/22/2018,01/22/2018,01/24/2018,64,56,64,43,0.0%,14.14,Wet,Beach Seines
2016,10/05/2016,10/24/2016,11/04/2016,11/21/2016,12/02/2016,12/16/2016,01/06/2017,01/09/2017,01/25/2017,64,26,78,56,0.0%,6.71,Below Normal,Beach Seines
2015,10/28/2015,12/14/2015,12/16/2015,12/24/2015,01/20/2016,01/20/2016,01/22/2016,02/17/2016,02/23/2016,39,29,67,31,100.0%,4,Critical,Beach Seines
2014,11/14/2014,11/20/2014,12/03/2014,12/08/2014,12/17/2014,12/24/2014,02/17/2015,03/17/2015,03/31/2015,78,17,119,63,0.0%,4.07,Critical,Beach Seines
2013,02/08/2014,02/12/2014,02/13/2014,02/14/2014,02/15/2014,02/18/2014,02/27/2014,02/28/2014,03/06/2014,15,5,17,67,0.0%,5.83,Dry,Beach Seines
2012,11/21/2012,11/26/2012,11/28/2012,12/03/2012,12/10/2012,12/28/2012,01/22/2013,01/22/2013,03/05/2013,56,26,58,253,0.0%,6.89,Below Normal,Beach Seines
2011,10/03/2011,10/11/2011,10/17/2011,01/04/2012,01/26/2012,01/30/2012,02/02/2012,02/23/2012,02/23/2012,110,27,137,24,100.0%,10.54,Wet,Beach Seines
2010,11/01/2010,11/12/2010,11/22/2010,12/10/2010,12/17/2010,12/19/2010,01/11/2011,02/01/2011,03/17/2011,52,10,83,131,0.0%,7.08,Below Normal,Beach Seines
2009,10/23/2009,10/23/2009,10/23/2009,10/30/2009,11/18/2009,12/16/2009,01/25/2010,03/02/2010,03/30/2010,96,48,132,37,0.0%,5.78,Dry,Beach Seines
2008,02/24/2009,02/24/2009,02/24/2009,02/24/2009,02/24/2009,03/03/2009,03/03/2009,03/03/2009,03/03/2009,8,8,8,5,0.0%,5.16,Critical,Beach Seines
2007,10/15/2007,10/15/2007,01/08/2008,01/08/2008,01/08/2008,01/15/2008,01/15/2008,01/15/2008,01/15/2008,8,8,94,14,100.0%,6.19,Dry,Beach Seines
Average (2012 - 2021),01/11,01/26,02/13,03/14,03/24,04/03,04/12,04/14,04/22,59.1,20.6,79.1,95.4,20.0%,NA,NA,Chipps
Median (2012 - 2021),01/21,02/11,02/27,03/16,03/26,04/06,04/11,04/13,04/19,41.5,19,66.5,68.7,100.0%,NA,NA,Chipps
2021,11/01/2021,11/01/2021,11/01/2021,03/17/2022,03/18/2022,03/24/2022,04/01/2022,04/05/2022,04/05/2022,153,8,157,10,0.0%,3.8,Critical,Chipps
2020,02/08/2021,02/24/2021,02/26/2021,03/09/2021,03/24/2021,03/29/2021,04/25/2021,04/25/2021,04/25/2021,59,21,61,37.5,0.0%,6.12,Dry,Chipps
2019,12/20/2019,02/23/2020,02/24/2020,03/10/2020,03/26/2020,04/09/2020,04/09/2020,04/10/2020,04/13/2020,46,31,48,169.7,100.0%,10.34,Wet,Chipps
2018,01/31/2019,02/17/2019,03/14/2019,03/28/2019,04/05/2019,04/17/2019,04/19/2019,04/19/2019,05/20/2019,37,21,62,109.5,0.0%,7.14,Below Normal,Chipps
2017,01/20/2018,02/05/2018,02/06/2018,03/15/2018,03/25/2018,04/14/2018,04/15/2018,04/17/2018,04/21/2018,69,31,72,88.9,0.0%,14.14,Wet,Chipps
2016,03/03/2017,03/16/2017,03/19/2017,03/28/2017,04/04/2017,04/10/2017,04/21/2017,04/27/2017,05/05/2017,34,14,43,312.6,0.0%,6.71,Below Normal,Chipps
2015,01/22/2016,01/29/2016,03/25/2016,03/30/2016,04/04/2016,04/06/2016,04/08/2016,04/08/2016,04/27/2016,15,8,71,52.2,100.0%,4,Critical,Chipps
2014,12/10/2014,12/10/2014,12/24/2014,02/11/2015,03/04/2015,03/27/2015,04/10/2015,04/15/2015,04/17/2015,109,45,128,35.7,0.0%,4.07,Critical,Chipps
2013,02/14/2014,02/21/2014,02/28/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,04/09/2014,04/11/2014,36,10,48,72.4,0.0%,5.83,Dry,Chipps
2012,12/21/2012,01/02/2013,03/11/2013,03/20/2013,03/27/2013,04/05/2013,04/12/2013,04/12/2013,04/15/2013,33,17,101,65,0.0%,6.89,Below Normal,Chipps
