period_or_week,surveydate,survey_id,river,river_mile,section,species,run,count,clip,sex,forklength,disposition,condition,spawn,disctag,floytag,cwt_tag,comments_othermarks,sample_id,sample_type,head_id,scale_id,tissue_id,otolith_id,year
1,2017-05-02,3,USRB,295,3,Chinook,Winter,1,No Clip,F,740,Not Chopped,Fresh,Unspawned,3985,NA,NA,NA,7001,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
2,2017-05-06,16,USRB,299,1,Chinook,Winter,1,No Clip,F,770,Not Chopped,Fresh,Spawned,5644,NA,NA,NA,7002,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
6,2017-05-16,41,USRB,280,4,Chinook,Winter,1,No Clip,M,900,Chopped,Fresh,Spawned,NA,NA,NA,Otter eaten chop,5001,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
7,2017-05-19,50,USRB,279,4,Chinook,Winter,1,Unknown,M,900,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5002,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
7,2017-05-21,56,USRB,301,1,Chinook,Winter,1,Clipped,M,850,Chopped,Non-Fresh,Spawned,NA,NA,NA,head all eaten away; no head taken,5004,Tissue,NA,NA,NA,NA,2017
10,2017-05-30,79,USRB,300,1,Chinook,Winter,1,No Clip,M,820,Not Chopped,Non-Fresh,Spawned,3484,NA,NA,NO-NTD; opercle tissue,5006,Tissue-Otolith,NA,NA,NA,NA,2017
11,2017-06-01,84,USRB,294,3,Chinook,Winter,1,Clipped,M,610,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5005,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
11,2017-06-02,88,USRB,301,1,Chinook,Winter,1,No Clip,M,NA,Chopped,Fresh,Unknown,NA,NA,NA,per AH Male chop-fresh otter kill-had fin; T-wanded,NA,None,NA,NA,NA,NA,2017
11,2017-06-02,86,USRB,296,2,Chinook,Winter,1,Clipped,F,722,Not Chopped,Non-Fresh,Unspawned,3073,NA,NA,NA,5008,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
11,2017-06-02,86,USRB,296,2,Chinook,Winter,1,Clipped,F,766,Not Chopped,Fresh,Spawned,3072,NA,NA,NA,5007,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
12,2017-06-03,89,USRB,281,4,Chinook,Winter,1,No Clip,M,930,Not Chopped,Fresh,Spawned,5667,NA,NA,NA,7003,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
12,2017-06-03,90,USRB,287,4,Chinook,Winter,1,No Clip,M,975,Chopped,Non-Fresh,Spawned,NA,NA,NA,no cwt,5009,Tissue-Scale,NA,NA,NA,NA,2017
12,2017-06-05,93,USRB,296,2,Chinook,Winter,1,Unknown,F,885,Chopped,Non-Fresh,Spawned,NA,NA,NA,otter chew; chop,7004,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
12,2017-06-05,93,USRB,297,2,Chinook,Winter,1,No Clip,M,1020,Chopped,Non-Fresh,Spawned,NA,NA,NA,otter chew; chop,7005,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
13,2017-06-07,100,USRB,292,3,Chinook,Winter,1,Clipped,M,860,Chopped,Fresh,Spawned,NA,NA,NA,NA,5010,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
13,2017-06-08,102,USRB,296,2,Chinook,Winter,1,Unknown,M,880,Chopped,Non-Fresh,Unknown,NA,NA,NA,NA,7006,Tissue-Head-Otolith,NA,NA,NA,NA,2017
14,2017-06-10,108,USRB,292,3,Chinook,Winter,1,Clipped,F,750,Chopped,Fresh,Spawned,NA,NA,NA,otter chewed,5011,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
14,2017-06-10,107,USRB,295,3,Chinook,Winter,1,Clipped,F,740,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7007,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
15,2017-06-14,119,USRB,299,1,Chinook,Winter,1,Clipped,F,690,Chopped,Fresh,Spawned,NA,NA,NA,Otter eaten,5013,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
16,2017-06-15,121,USRB,281,4,Chinook,Winter,1,Clipped,F,765,Not Chopped,Fresh,Spawned,7492,NA,NA,NA,7008,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
16,2017-06-16,124,USRB,294,3,Chinook,Winter,1,Clipped,F,700,Not Chopped,Non-Fresh,Spawned,4535,NA,NA,NA,5014,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
16,2017-06-17,128,USRB,300,1,Chinook,Winter,1,Clipped,F,730,Not Chopped,Fresh,Spawned,4536,NA,NA,Had hole where a floy tag was.,5015,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
17,2017-06-19,131,USRB,295,3,Chinook,Winter,1,No Clip,F,718,Not Chopped,Non-Fresh,Spawned,3635,NA,NA,T-wand no cwt,5016,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
18,2017-06-21,138,USRB,287,4,Chinook,Winter,1,Clipped,M,891,Not Chopped,Non-Fresh,Spawned,3553,NA,NA,NA,5017,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
18,2017-06-22,140,USRB,294,3,Chinook,Winter,1,Clipped,F,720,Not Chopped,Non-Fresh,Spawned,3554,NA,NA,NA,5018,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
19,2017-06-26,152,USRB,300,1,Chinook,Winter,1,Clipped,F,729,Not Chopped,Fresh,Spawned,2873,O-380,NA,Floy orange; single,7009,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
20,2017-06-28,155,USRB,294,3,Chinook,Winter,1,Clipped,F,740,Not Chopped,Non-Fresh,Spawned,2785,NA,NA,NA,7010,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
20,2017-06-28,155,USRB,295,3,Chinook,Winter,1,No Clip,F,670,Not Chopped,Fresh,Spawned,2787,NA,NA,NA,7012,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
20,2017-06-28,155,USRB,295,3,Chinook,Winter,1,No Clip,F,700,Not Chopped,Fresh,Spawned,2786,NA,NA,NA,7011,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
21,2017-07-01,163,USRB,296,3,Chinook,Winter,1,Clipped,F,726,Chopped,Fresh,Spawned,NA,NA,NA,Otter Chew face missing; chopped,5019,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
21,2017-07-02,166,USRB,296,2,Chinook,Winter,1,Clipped,F,680,Chopped,Fresh,Spawned,NA,NA,NA,otter chew chopped,7013,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-04,172,USRB,294,3,Chinook,Winter,1,Clipped,F,758,Not Chopped,Fresh,Spawned,3075,NA,NA,NA,5021,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-04,172,USRB,294,3,Chinook,Winter,1,Clipped,F,740,Not Chopped,Fresh,Spawned,3074,NA,NA,NA,5020,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-05,174,USRB,296,2,Chinook,Winter,1,Clipped,M,836,Not Chopped,Fresh,Spawned,3076,NA,NA,NA,5022,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-05,173,USRB,296,2,Chinook,Winter,1,Clipped,F,750,Not Chopped,Fresh,Spawned,4092,NA,NA,NA,7014,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-05,174,USRB,296,2,Chinook,Winter,1,Clipped,F,775,Not Chopped,Fresh,Spawned,3077,NA,NA,NA,5023,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
22,2017-07-05,174,USRB,297,2,Chinook,Winter,1,Clipped,F,762,Not Chopped,Non-Fresh,Spawned,3078,NA,NA,NA,5024,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-07,180,USRB,289,3,Chinook,Winter,1,Clipped,M,707,Not Chopped,Fresh,Spawned,5669,NA,NA,NA,7016,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-07,180,USRB,289,3,Chinook,Winter,1,Clipped,F,742,Not Chopped,Non-Fresh,Spawned,5668,NA,NA,NA,7015,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-07,180,USRB,294,3,Chinook,Winter,1,Clipped,F,766,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7017,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-08,182,USRB,296,2,Chinook,Winter,1,Clipped,F,766,Not Chopped,Fresh,Spawned,5671,NA,NA,NA,7018,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-08,181,USRB,296,2,Chinook,Winter,1,Clipped,F,747,Not Chopped,Non-Fresh,Spawned,3984,NA,NA,NA,5025,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-08,182,USRB,296,2,Chinook,Winter,1,Clipped,F,733,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7019,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
23,2017-07-08,181,USRB,296,2,Chinook,Winter,1,Clipped,F,690,Chopped,Non-Fresh,Spawned,NA,NA,NA,otter chew,5026,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
24,2017-07-11,189,USRB,296,2,Chinook,Winter,1,Clipped,F,776,Not Chopped,Fresh,Spawned,7159,NA,NA,NA,7020,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
24,2017-07-11,190,USRB,296,2,Chinook,Winter,1,No Clip,F,825,Chopped,Non-Fresh,Spawned,NA,NA,NA,T-wand applied,5028,Tissue-Otolith,NA,NA,NA,NA,2017
24,2017-07-11,189,USRB,297,2,Chinook,Winter,1,No Clip,F,758,Not Chopped,Fresh,Spawned,7158,NA,NA,NA,7021,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
25,2017-07-12,193,USRB,281,4,Chinook,Winter,1,Clipped,M,660,Not Chopped,Non-Fresh,Spawned,5504,NA,NA,NA,5030,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
25,2017-07-13,196,USRB,289,3,Chinook,Winter,1,Unknown,M,900,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7022,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
25,2017-07-13,196,USRB,292,3,Chinook,Winter,1,Unknown,F,840,Chopped,Fresh,Spawned,NA,NA,NA,NA,7023,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
26,2017-07-16,211,USRB,288,3,Chinook,Winter,1,Unknown,F,680,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7024,Tissue-Head-Otolith,NA,NA,NA,NA,2017
26,2017-07-17,214,USRB,296,2,Chinook,Winter,1,Clipped,F,580,Not Chopped,Fresh,Spawned,5778,NA,NA,NA,7025,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
26,2017-07-17,214,USRB,296,2,Chinook,Winter,1,Clipped,F,757,Chopped,Fresh,Spawned,NA,NA,NA,otter chew; no disc tag; chopped,7026,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-19,219,USRB,288,3,Chinook,Winter,1,No Clip,F,710,Not Chopped,Non-Fresh,Spawned,2697,NA,NA,NA,7027,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-19,220,USRB,289,3,Chinook,Winter,1,Clipped,F,762,Not Chopped,Non-Fresh,Spawned,4537,NA,NA,NA,5031,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-19,220,USRB,294,3,Chinook,Winter,1,Clipped,F,519,Chopped,Fresh,Spawned,NA,NA,NA,NA,5032,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-20,222,USRB,296,2,Chinook,Winter,1,No Clip,F,715,Not Chopped,Fresh,Spawned,4539,NA,NA,NA,5034,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-20,222,USRB,296,2,Chinook,Winter,1,Clipped,F,720,Not Chopped,Fresh,Spawned,4538,NA,NA,NA,5033,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
27,2017-07-20,222,USRB,296,2,Chinook,Winter,1,Clipped,F,770,Not Chopped,Fresh,Spawned,4540,NA,NA,NA,5035,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-22,227,USRB,295,3,Chinook,Winter,1,Clipped,M,536,Not Chopped,Fresh,Spawned,4380,NA,NA,NA,5037,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,229,USRB,296,2,Chinook,Winter,1,Clipped,F,757,Not Chopped,Fresh,Spawned,4335,NA,NA,NA,7030,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,229,USRB,296,2,Chinook,Winter,1,No Clip,F,703,Not Chopped,Fresh,Spawned,4333,NA,NA,NA,7028,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,230,USRB,296,2,Chinook,Winter,1,Clipped,F,735,Not Chopped,Non-Fresh,Spawned,3636,NA,NA,NA,5038,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,229,USRB,296,2,Chinook,Winter,1,Clipped,F,785,Not Chopped,Fresh,Spawned,4334,NA,NA,NA,7029,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,229,USRB,297,2,Chinook,Winter,1,Clipped,F,833,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7032,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,229,USRB,297,2,Chinook,Winter,1,Clipped,F,741,Not Chopped,Fresh,Spawned,4336,NA,NA,NA,7031,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
28,2017-07-23,230,USRB,298,2,Chinook,Winter,1,Clipped,F,744,Not Chopped,Fresh,Spawned,3637,NA,NA,NA,5039,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-24,234,USRB,279,4,Chinook,Winter,1,Clipped,M,560,Chopped,Fresh,Spawned,NA,NA,NA,otter eaten,5040,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-24,234,USRB,287,4,Chinook,Winter,1,Clipped,F,695,Not Chopped,Fresh,Spawned,3551,NA,NA,NA,5041,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-24,233,USRB,287,4,Chinook,Winter,1,Clipped,F,665,Not Chopped,Non-Fresh,Spawned,2287,NA,NA,NA,7033,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-25,235,USRB,293,3,Chinook,Winter,1,Clipped,M,605,Not Chopped,Fresh,Spawned,2290,NA,NA,NA,7036,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-25,236,USRB,293,3,Chinook,Winter,1,Clipped,F,691,Not Chopped,Fresh,Spawned,3556,NA,NA,NA,5042,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-25,236,USRB,294,3,Chinook,Winter,1,Clipped,F,562,Not Chopped,Fresh,Spawned,3557,NA,NA,NA,5043,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-25,235,USRB,294,3,Chinook,Winter,1,No Clip,F,795,Not Chopped,Non-Fresh,Spawned,2288,NA,NA,NA,7034,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-25,235,USRB,295,3,Chinook,Winter,1,Clipped,F,539,Not Chopped,Fresh,Spawned,2289,NA,NA,NA,7035,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-26,240,USRB,300,1,Chinook,Winter,1,Unknown,F,723,Not Chopped,Fresh,Spawned,3559,NA,NA,Partial ?,5047,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-26,238,USRB,296,2,Chinook,Winter,1,Clipped,F,572,Not Chopped,Fresh,Spawned,3558,NA,NA,NA,5045,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
29,2017-07-26,237,USRB,297,2,Chinook,Winter,1,Clipped,F,781,Not Chopped,Fresh,Spawned,2291,NA,NA,NA,7037,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-27,241,USRB,283,4,Chinook,Winter,1,No Clip,F,748,Not Chopped,Non-Fresh,Spawned,5979,NA,NA,Scanned; no tag,5048,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,247,USRB,299,1,Chinook,Winter,1,Clipped,F,785,Not Chopped,Non-Fresh,Spawned,5984,NA,NA,NA,5055,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,247,USRB,300,1,Chinook,Winter,1,Clipped,F,775,Not Chopped,Fresh,Spawned,5985,NA,NA,NA,5056,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,296,2,Chinook,Winter,1,Clipped,F,760,Not Chopped,Non-Fresh,Spawned,5980,NA,NA,Otter chew,5049,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,246,USRB,296,2,Chinook,Winter,1,Clipped,F,743,Not Chopped,Fresh,Spawned,2869,NA,NA,NA,7038,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,246,USRB,296,2,Chinook,Winter,1,No Clip,M,630,Not Chopped,Fresh,Spawned,2870,NA,NA,NA,7039,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,297,2,Chinook,Winter,1,Clipped,F,760,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5050,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,297,2,Chinook,Winter,1,No Clip,F,680,Not Chopped,Fresh,Spawned,5983,NA,NA,Took head,5054,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,297,2,Chinook,Winter,1,Clipped,F,590,Not Chopped,Fresh,Spawned,5981,NA,NA,NA,5052,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,297,2,Chinook,Winter,1,Clipped,F,690,Not Chopped,Fresh,Spawned,5982,NA,NA,NA,5053,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,245,USRB,297,2,Chinook,Winter,1,Clipped,F,700,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5051,Tissue-Head-Otolith,NA,NA,NA,NA,2017
30,2017-07-29,246,USRB,298,2,Chinook,Winter,1,No Clip,F,735,Not Chopped,Non-Fresh,Spawned,2871,NA,NA,NA,7040,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-30,249,USRB,276,4,Chinook,Winter,1,Clipped,M,650,Chopped,Fresh,Spawned,NA,NA,NA,GPS not working; otter,7041,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,252,USRB,288,3,Chinook,Winter,1,Clipped,M,871,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5057,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,252,USRB,294,3,Chinook,Winter,1,Clipped,M,630,Not Chopped,Fresh,Spawned,4175,NA,NA,NA,5058,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,252,USRB,294,3,Chinook,Winter,1,Clipped,F,715,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5060,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,252,USRB,294,3,Chinook,Winter,1,Clipped,F,738,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5059,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,251,USRB,295,3,Chinook,Winter,1,Clipped,F,550,Not Chopped,Fresh,Spawned,2788,NA,NA,NA,7042,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-07-31,251,USRB,296,3,Chinook,Winter,1,Clipped,M,840,Not Chopped,Non-Fresh,Spawned,2789,NA,NA,NA,7043,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-08-01,254,USRB,296,2,Chinook,Winter,1,No Clip,F,712,Not Chopped,Fresh,Spawned,4176,NA,NA,NA,5061,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
31,2017-08-01,254,USRB,297,2,Chinook,Winter,1,Clipped,F,583,Not Chopped,Fresh,Spawned,4177,NA,NA,Lost head,5062,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
32,2017-08-02,258,USRB,287,4,Chinook,Winter,1,Clipped,F,590,Not Chopped,Fresh,Spawned,7102,NA,NA,NA,7045,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
32,2017-08-02,258,USRB,287,4,Chinook,Winter,1,Clipped,M,621,Not Chopped,Fresh,Spawned,7101,NA,NA,NA,7044,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
32,2017-08-03,260,USRB,292,3,Chinook,Winter,1,Clipped,F,519,Not Chopped,Fresh,Spawned,7103,NA,NA,NA,7046,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
32,2017-08-04,262,USRB,296,2,Chinook,Winter,1,Clipped,F,550,Not Chopped,Fresh,Spawned,3485,NA,NA,NA,5063,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
32,2017-08-04,261,USRB,297,2,Chinook,Winter,1,Clipped,F,525,Not Chopped,Fresh,Spawned,7105,NA,NA,NA,7047,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
33,2017-08-05,265,USRB,286,4,Chinook,Winter,1,Clipped,F,645,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5064,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
33,2017-08-07,271,USRB,299,1,Chinook,Winter,1,Clipped,F,615,Not Chopped,Fresh,Spawned,3080,NA,NA,NA,5068,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
33,2017-08-07,269,USRB,296,2,Chinook,Winter,1,Clipped,F,780,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5065,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
33,2017-08-07,269,USRB,297,2,Chinook,Winter,1,Clipped,F,780,Not Chopped,Non-Fresh,Spawned,3079,NA,NA,NA,5067,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
34,2017-08-09,276,USRB,292,3,Chinook,Winter,1,Clipped,F,790,Chopped,Non-Fresh,Spawned,NA,NA,NA,Most of head eaten away,5069,Tissue-Head,NA,NA,NA,NA,2017
34,2017-08-09,276,USRB,294,3,Chinook,Winter,1,Clipped,F,475,Not Chopped,Fresh,Spawned,3990,NA,NA,NA,5070,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
34,2017-08-09,276,USRB,294,3,Chinook,Winter,1,Clipped,F,614,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5071,Tissue-Head-Otolith,NA,NA,NA,NA,2017
34,2017-08-10,277,USRB,296,2,Chinook,Winter,1,Clipped,F,780,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7049,Tissue-Head-Otolith,NA,NA,NA,NA,2017
34,2017-08-10,277,USRB,296,2,Chinook,Winter,1,Clipped,F,615,Not Chopped,Fresh,Spawned,3946,NA,NA,NA,7048,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
35,2017-08-12,284,USRB,290,3,Chinook,Winter,1,Clipped,F,550,Not Chopped,Non-Fresh,Spawned,4225,NA,NA,NA,7050,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
35,2017-08-12,284,USRB,294,3,Chinook,Winter,1,No Clip,F,560,Not Chopped,Fresh,Spawned,4226,NA,NA,NA,7051,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-13,286,USRB,296,2,Chinook,Winter,1,Clipped,F,750,Not Chopped,Non-Fresh,Spawned,4227,NA,NA,NA,7052,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-13,286,USRB,296,2,Chinook,Winter,1,Clipped,F,600,Not Chopped,Fresh,Spawned,4228,NA,NA,NA,7053,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-14,289,USRB,288,4,Chinook,Winter,1,Clipped,M,715,Not Chopped,Non-Fresh,Spawned,8712,NA,NA,NA,7054,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-15,292,USRB,294,3,Chinook,Winter,1,Clipped,F,581,Not Chopped,Fresh,Spawned,5505,NA,NA,NA,5072,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-15,291,USRB,295,3,Chinook,Winter,1,Clipped,F,613,Not Chopped,Non-Fresh,Spawned,8713,NA,NA,NA,7055,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-15,292,USRB,295,3,Chinook,Winter,1,Clipped,F,562,Not Chopped,Fresh,Spawned,5506,NA,NA,NA,5073,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
36,2017-08-16,295,USRB,298,1,Chinook,Winter,1,Clipped,F,591,Not Chopped,Fresh,Spawned,8714,NA,NA,NA,7056,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-17,297,USRB,278,4,Chinook,Winter,1,Clipped,M,568,Not Chopped,Fresh,Unspawned,3734,NA,NA,Partial clip-scanned and rang,5074,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-18,299,USRB,292,3,Chinook,Winter,1,Clipped,M,605,Not Chopped,Fresh,Spawned,3735,NA,NA,Male Fresh head scanned-no tag,5075,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-18,300,USRB,294,3,Chinook,Winter,1,Unknown,F,600,Not Chopped,Non-Fresh,Unspawned,5779,NA,NA,NA,7057,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-19,303,USRB,299,1,Chinook,Winter,1,Clipped,F,840,Not Chopped,Non-Fresh,Spawned,3728,NA,NA,NA,5078,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-19,304,USRB,299,1,Chinook,Winter,1,Clipped,F,609,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,7058,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-19,301,USRB,297,2,Chinook,Winter,1,Clipped,F,570,Not Chopped,Non-Fresh,Spawned,3732,NA,NA,NA,5076,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
37,2017-08-19,301,USRB,297,2,Chinook,Winter,1,Clipped,F,745,Not Chopped,Non-Fresh,Spawned,3733,NA,NA,NA,5077,Tissue-Head-Otolith,NA,NA,NA,NA,2017
39,2017-08-25,317,USRB,297,2,Chinook,Winter,1,Clipped,F,592,Not Chopped,Fresh,Spawned,4381,NA,NA,NA,5079,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
40,2017-08-28,327,USRB,301,1,Chinook,Winter,1,Clipped,F,575,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5080,Tissue-Head-Otolith,NA,NA,NA,NA,2017
41,2017-08-30,331,USRB,288,3,Chinook,Winter,1,Clipped,F,582,Chopped,Non-Fresh,Spawned,NA,NA,NA,Otter eaten,5081,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
41,2017-08-31,335,USRB,298,1,Chinook,Winter,1,Clipped,F,534,Not Chopped,Fresh,Spawned,5972,NA,NA,NA,5082,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
