date_yyyy_mm_dd,brood_year,population,estimated_passage,length,length_min,length_max,primary_source
2022-03-23,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-24,2021,Winter Chinook,35,101,101,101,USFWS Biweekly20220312-20220325.csv
2022-03-25,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-26,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-03-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-03-28,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-03-29,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-03-30,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-03-31,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-01,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-02,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-03,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-04,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-05,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-06,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-07,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-08,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220326-20220408.csv
2022-04-09,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-11,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-12,2021,Winter Chinook,51,141,141,141,USFWS Biweekly20220409-20220422.csv
2022-04-13,2021,Winter Chinook,31,150,150,150,USFWS Biweekly20220409-20220422.csv
2022-04-14,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-15,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-16,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-17,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-18,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-19,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-20,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-21,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220409-20220422.csv
2022-04-23,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-04-24,2021,Winter Chinook,56,178,178,178,USFWS Biweekly20220423-20220506.csv
2022-04-25,2021,Winter Chinook,30,119,119,119,USFWS Biweekly20220423-20220506.csv
2022-04-26,2021,Winter Chinook,59,NA,152,170,USFWS Biweekly20220423-20220506.csv
2022-04-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-04-28,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-04-29,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-04-30,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-01,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-02,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-03,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-04,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-05,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-06,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220423-20220506.csv
2022-05-07,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
