date_yyyy_mm_dd,brood_year,population,estimated_passage,length,length_min,length_max,primary_source
2021-10-07,2021,Winter Chinook,7915,NA,31,62,USFWS Biweekly20210924-20211007.pdf
2021-10-08,2021,Winter Chinook,6296,NA,31,62,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-09,2021,Winter Chinook,3847,NA,32,60,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-10,2021,Winter Chinook,5195,NA,32,64,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-11,2021,Winter Chinook,6324,NA,32,65,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-12,2021,Winter Chinook,5652,NA,32,65,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-13,2021,Winter Chinook,4863,NA,32,66,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-14,2021,Winter Chinook,3727,NA,31,65,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-15,2021,Winter Chinook,3022,NA,32,66,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-16,2021,Winter Chinook,3162,NA,32,67,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-17,2021,Winter Chinook,2305,NA,32,67,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-18,2021,Winter Chinook,924,NA,33,68,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-19,2021,Winter Chinook,1530,NA,34,68,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-20,2021,Winter Chinook,916,NA,32,64,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-21,2021,Winter Chinook,531,NA,33,62,USFWS Biweekly20211008-20211021_revised.pdf
2021-10-22,2021,Winter Chinook,1539,NA,32,68,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-23,2021,Winter Chinook,11693,NA,33,70,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-24,2021,Winter Chinook,7816,NA,32,71,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-25,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-26,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-27,2021,Winter Chinook,6808,NA,32,72,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-28,2021,Winter Chinook,2830,NA,34,69,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-29,2021,Winter Chinook,3389,NA,34,73,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-30,2021,Winter Chinook,3590,NA,27,73,USFWS Biweekly20211022-20211104_revised.pdf
2021-10-31,2021,Winter Chinook,2770,NA,30,73,USFWS Biweekly20211022-20211104_revised.pdf
2021-11-01,2021,Winter Chinook,3433,NA,34,74,USFWS Biweekly20211022-20211104_revised.pdf
2021-11-02,2021,Winter Chinook,4024,NA,30,75,USFWS Biweekly20211022-20211104_revised.pdf
2021-11-03,2021,Winter Chinook,7826,NA,30,75,USFWS Biweekly20211022-20211104_revised.pdf
2021-11-04,2021,Winter Chinook,5063,NA,29,76,USFWS Biweekly20211022-20211104_revised.pdf
2021-11-05,2021,Winter Chinook,3988,NA,44,75,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-06,2021,Winter Chinook,2118,NA,40,77,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-07,2021,Winter Chinook,1933,NA,42,75,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-08,2021,Winter Chinook,1837,NA,45,78,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-09,2021,Winter Chinook,3692,NA,48,78,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-10,2021,Winter Chinook,14867,NA,44,78,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-11,2021,Winter Chinook,5599,NA,42,78,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-12,2021,Winter Chinook,2398,NA,46,80,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-13,2021,Winter Chinook,1545,NA,50,78,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-14,2021,Winter Chinook,1160,NA,45,72,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-15,2021,Winter Chinook,562,NA,45,79,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-16,2021,Winter Chinook,653,NA,42,75,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-17,2021,Winter Chinook,525,NA,44,83,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-18,2021,Winter Chinook,665,NA,44,82,USFWS Biweekly20211105-20211118_revised.pdf
2021-11-19,2021,Winter Chinook,509,NA,48,73,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-20,2021,Winter Chinook,555,NA,51,80,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-21,2021,Winter Chinook,621,NA,54,79,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-22,2021,Winter Chinook,1097,NA,44,85,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-23,2021,Winter Chinook,1109,NA,47,83,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-24,2021,Winter Chinook,762,NA,44,81,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-25,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-26,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-27,2021,Winter Chinook,847,NA,55,87,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-28,2021,Winter Chinook,478,NA,54,84,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-29,2021,Winter Chinook,419,NA,52,88,USFWS Biweekly20211119-20211202_revised.pdf
2021-11-30,2021,Winter Chinook,262,NA,55,75,USFWS Biweekly20211119-20211202_revised.pdf
2021-12-01,2021,Winter Chinook,344,NA,57,79,USFWS Biweekly20211119-20211202_revised.pdf
2021-12-02,2021,Winter Chinook,91,NA,64,65,USFWS Biweekly20211119-20211202_revised.pdf
2021-12-03,2021,Winter Chinook,220,NA,57,77,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-04,2021,Winter Chinook,191,NA,55,74,USFWS Biweekly20211203-20211216_revised.pdf
